Name,State/Territory,Category,Policy/Incentive Type,Created,Last Updated
Midstate Electric Cooperative - Residential Conservation Rebates,OR,Financial Incentive,Rebate Program,03/13/2006,05/09/2024
Midstate Electric Cooperative - Commercial and Industrial Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,03/13/2006,05/09/2024
Oregon Appliance and Equipment Energy Efficiency Standards,OR,Regulatory Policy,Appliance/Equipment Efficiency Standards,06/05/2006,10/24/2024
Portland General Electric - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,06/26/2006,10/27/2025
Building Energy Code,OR,Regulatory Policy,Building Energy Code,07/27/2006,06/18/2023
State Energy Efficient Design Program,OR,Regulatory Policy,Energy Standards for Public Buildings,08/01/2006,03/13/2024
Emerald PUD - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,09/07/2006,10/22/2025
Emerald PUD - Commercial and Industrial Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,09/08/2006,08/01/2024
Columbia River PUD - Commercial Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,09/13/2006,09/16/2025
EWEB - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,09/14/2006,10/28/2025
EWEB - Residential Energy Efficiency Loan Programs,OR,Financial Incentive,Loan Program,09/14/2006,10/14/2025
Springfield Utility Board - Residential Energy Efficiency Loan Program,OR,Financial Incentive,Loan Program,09/14/2006,05/08/2024
Springfield Utility Board - Commercial Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,09/15/2006,08/11/2025
Tillamook County PUD - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,09/15/2006,09/30/2025
Tillamook County PUD - Dairy Lighting Retrofit Rebate Program,OR,Financial Incentive,Rebate Program,09/15/2006,05/07/2024
OTEC - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,09/29/2006,10/23/2025
Central Electric Cooperative - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,10/03/2006,09/15/2025
Home Energy Solutions for Existing Homes,OR,Financial Incentive,Rebate Program,03/09/2007,05/30/2025
Commercial Energy Efficiency Rebate for Existing Buildings,OR,Financial Incentive,Rebate Program,03/13/2007,05/30/2025
New Buildings Program,OR,Financial Incentive,Rebate Program,03/13/2007,05/30/2025
Lane Electric Cooperative - Heat Pump Rebate/Loan Program,OR,Financial Incentive,Rebate Program,03/29/2007,07/07/2025
Lane Electric Cooperative - Commercial/Residential Weatherization & Energy Efficiency Program,OR,Financial Incentive,Grant Program,03/29/2007,07/08/2025
Lane Electric Cooperative - Residential Weatherization Programs,OR,Financial Incentive,Loan Program,03/29/2007,09/09/2025
"Consumers Power, Inc - Residential Energy Efficiency Rebate Program",OR,Financial Incentive,Rebate Program,04/04/2007,09/30/2025
Douglas Electric Cooperative - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,04/18/2007,09/15/2025
"Salem Electric - Residential, Commercial, and Industrial Efficiency Rebate Program",OR,Financial Incentive,Rebate Program,04/25/2007,07/07/2025
EWEB - Solar Electric Program (Rebate),OR,Financial Incentive,Rebate Program,05/15/2007,09/18/2025
EWEB - Commercial Energy Efficiency Rebates Program,OR,Financial Incentive,Rebate Program,06/01/2007,09/30/2025
Renewable Portfolio Standard,OR,Regulatory Policy,Renewables Portfolio Standard,06/04/2007,11/17/2025
EWEB - New Facilities Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,06/13/2007,10/28/2025
Idaho Power - Easy Upgrades for Simple Retrofits Rebate Program,OR,Financial Incentive,Rebate Program,06/27/2007,07/29/2025
Green Energy Technology in Public Buildings,OR,Regulatory Policy,Energy Standards for Public Buildings,07/16/2007,06/10/2024
Mandatory Utility Green Power Option,OR,Regulatory Policy,Mandatory Utility Green Power Option,10/24/2007,08/27/2021
Wind Incentive Program,OR,Financial Incentive,Rebate Program,11/09/2007,05/30/2025
Idaho Power - New Building Efficiency Program,OR,Financial Incentive,Rebate Program,11/12/2008,07/29/2025
Idaho Power - Commercial Custom Efficiency Program,OR,Financial Incentive,Rebate Program,11/12/2008,07/29/2025
Idaho Power - Irrigation Efficiency Rewards Program,OR,Financial Incentive,Rebate Program,11/12/2008,07/29/2025
Idaho Power - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,11/13/2008,09/15/2025
OTEC - Agricultural Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,11/13/2008,05/09/2024
New Homes Incentive Program,OR,Financial Incentive,Rebate Program,11/18/2008,05/30/2025
Residential Energy Star Appliance Rebate Program,OR,Financial Incentive,Rebate Program,11/19/2008,05/30/2025
Industrial and Agricultural Production Efficiency Program,OR,Financial Incentive,Rebate Program,11/21/2008,05/30/2025
McMinnville Water & Light - Commercial Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,01/13/2009,08/05/2024
McMinnville Water & Light - Conservation Service Loan Program,OR,Financial Incentive,Loan Program,01/13/2009,07/10/2024
Model Ordinance for Renewable Energy Projects,OR,Regulatory Policy,Solar/Wind Permitting Standards,01/07/2005,08/11/2023
Monmouth Power & Light - Residential Energy Efficiency Program,OR,Financial Incentive,Rebate Program,04/08/2009,09/30/2025
Tillamook County PUD - Residential Energy Efficiency Loan Program,OR,Financial Incentive,Loan Program,05/19/2009,05/07/2024
Springfield Utility Board - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,05/20/2009,09/30/2025
Lane Electric Cooperative - Manufactured Homes Rebate Program,OR,Financial Incentive,Rebate Program,07/08/2009,07/08/2025
Salem Electric - Photovoltaic Rebate Program,OR,Financial Incentive,Rebate Program,01/01/2009,09/18/2025
Local Option - Local Improvement Districts,OR,Financial Incentive,PACE Financing,07/28/2009,06/17/2024
Central Lincoln People's Utility District - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,08/25/2009,05/15/2024
McMinnville Water and Light - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,02/09/2010,10/22/2025
City of Portland - Streamlined Building Permits for Residential Solar Systems,OR,Regulatory Policy,Solar/Wind Permitting Standards,09/01/2009,08/11/2023
Solar Permitting Law,OR,Regulatory Policy,Solar/Wind Permitting Standards,06/29/2011,08/15/2023
Multifamily Home Energy Solutions Program,OR,Financial Incentive,Rebate Program,08/08/2005,05/30/2025
Central Lincoln People's Utility District - Renewable Energy Incentive Program,OR,Financial Incentive,Rebate Program,02/15/2013,09/18/2025
Local Option - Rural Renewable Energy Development Zones,OR,Financial Incentive,Property Tax Incentive,06/10/2013,10/08/2025
SB 1149 Schools Program,OR,Regulatory Policy,Public Benefits Fund,07/10/2015,07/26/2021
Large Electric Consumer Public Purpose Program (LECPPP),OR,Regulatory Policy,Public Benefits Fund,11/18/2015,07/27/2021
EWEB - Net Metering,OR,Regulatory Policy,Net Metering,02/11/2016,02/25/2025
Pacific Power - Blue Sky Community Project Funds,OR,Financial Incentive,Grant Program,03/16/2016,09/09/2025
PGE Renewable Development Fund,OR,Financial Incentive,Grant Program,04/04/2016,09/09/2025
Energy Storage Procurement Target,OR,Regulatory Policy,Energy Storage Target,03/30/2020,11/04/2025
Diesel School Bus Replacement Program,OR,Financial Incentive,Grant Program,06/17/2021,10/04/2023
Oregon Clean Vehicle Rebate Program,OR,Financial Incentive,Rebate Program,06/18/2021,05/30/2025
Solar + Storage Rebate Program,OR,Financial Incentive,Rebate Program,06/29/2021,05/30/2025
Central Lincoln PUD Electric Vehicle Charging Station Rebate Program,OR,Financial Incentive,Rebate Program,08/20/2021,09/30/2025
Eugene Water & Electric Board - Electric Vehicle Charging Station Smart Charge Program,OR,Financial Incentive,Rebate Program,08/20/2021,09/08/2025
Portland General Electric (PGE) - Residential EV Charging Pilot Program,OR,Financial Incentive,Rebate Program,08/20/2021,09/30/2025
Portland General Electric (PGE) - EV Charging Station Commercial & Multifamily Rebate Program,OR,Financial Incentive,Rebate Program,08/20/2021,09/30/2025
Solar Within Reach,OR,Financial Incentive,Rebate Program,09/30/2021,05/30/2025
OTEC - Commercial Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,06/01/2022,05/09/2024
Oregon Community Solar Program,OR,Regulatory Policy,Community Solar Rules,06/22/2022,02/28/2023
Emerald PUC Electric Vehicle Charger Rebate Program,OR,Financial Incentive,Rebate Program,11/14/2023,09/29/2025
Making Solar Equitable Program,OR,Financial Incentive,Rebate Program,11/15/2023,05/30/2025
Solar Planning Program,OR,Financial Incentive,Rebate Program,11/17/2023,05/30/2025
Lane Electric - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,11/20/2023,09/25/2025
Oregon - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,OR,Financial Incentive,Grant Program,06/19/2024,06/25/2024
Ashland Electric Utility - Commercial Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,09/18/2024,09/18/2024
Forest Grove Light & Power - Residential Solar Rebate Program,OR,Financial Incentive,Rebate Program,09/18/2024,09/29/2025
Net Metering,PA,Regulatory Policy,Net Metering,01/01/2000,07/25/2025
Fuel Mix Disclosure,PA,Regulatory Policy,Generation Disclosure,01/01/2000,08/09/2023
Public Benefits Programs,PA,Regulatory Policy,Public Benefits Fund,01/01/2000,07/26/2021
Alternative Energy Portfolio Standard,PA,Regulatory Policy,Renewables Portfolio Standard,12/03/2004,01/06/2025
Interconnection Standards,PA,Regulatory Policy,Interconnection,12/16/2004,06/05/2024
Sustainable Development Fund Financing Program (PECO Territory),PA,Financial Incentive,Loan Program,02/25/2002,07/20/2020
Met-Ed / Penelec Sustainable Energy Fund,PA,Financial Incentive,Grant Program,02/08/2002,11/01/2021
Sustainable Energy Fund (SEF) Loan Program (PPL Territory),PA,Financial Incentive,Loan Program,02/08/2002,08/07/2020
West Penn Power SEF Commercial Loan Program,PA,Financial Incentive,Loan Program,02/12/2002,09/20/2022
Metropolitan Edison Company SEF Loans (FirstEnergy Territory),PA,Financial Incentive,Loan Program,02/05/2002,10/04/2021
Penelec SEF of the Community Foundation for the Alleghenies Grant Program (FirstEnergy Territory),PA,Financial Incentive,Grant Program,03/06/2003,12/05/2020
Small Business Advantage Grant Program,PA,Financial Incentive,Grant Program,06/30/2005,11/20/2024
Small Business Pollution Prevention Assistance Account Loan Program,PA,Financial Incentive,Loan Program,06/30/2005,08/03/2025
Building Energy Code,PA,Regulatory Policy,Building Energy Code,07/26/2006,05/21/2025
Property Tax Assessment for Commercial Wind Farms,PA,Financial Incentive,Property Tax Incentive,12/19/2006,07/14/2025
Model Wind Ordinance for Local Governments,PA,Regulatory Policy,Solar/Wind Permitting Standards,09/11/2008,05/28/2024
Energy Management and Conservation in State Facilities,PA,Regulatory Policy,Energy Standards for Public Buildings,11/13/2008,03/23/2024
Wind and Geothermal Incentives Program,PA,Financial Incentive,Industry Recruitment/Support,01/21/2009,07/14/2021
PECO Energy (Gas) - Residential Heating Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,01/29/2009,11/26/2024
Solar Energy Incentives Program,PA,Financial Incentive,Industry Recruitment/Support,04/21/2009,07/14/2021
High Performance Building Incentives Program,PA,Financial Incentive,Grant Program,04/22/2009,04/04/2022
Wind and Geothermal Incentives Program,PA,Financial Incentive,Grant Program,08/11/2009,10/13/2022
Wind and Geothermal Incentives Program,PA,Financial Incentive,Loan Program,08/11/2009,08/05/2025
High Performance Buildings Incentive Program,PA,Financial Incentive,Loan Program,08/11/2009,08/05/2025
Pennsylvania Alternative and Clean Energy Program (ACE),PA,Financial Incentive,Grant Program,09/02/2009,02/08/2022
Alternative and Clean Energy Program,PA,Financial Incentive,Loan Program,09/03/2009,08/03/2025
Alternative and Clean Energy Program,PA,Financial Incentive,Industry Recruitment/Support,09/03/2009,07/14/2021
"PPL Electric Utilities - Commercial, Industrial and Agricultural Energy Efficiency Rebate Program",PA,Financial Incentive,Rebate Program,12/16/2009,11/01/2024
PPL Electric Utilities - Residential Energy Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,12/16/2009,06/24/2025
Duquesne Light Company - Commercial and Industrial Energy Efficiency Program,PA,Financial Incentive,Rebate Program,01/05/2010,07/07/2025
Duquesne Light Company - Residential Energy Efficiency Program,PA,Financial Incentive,Rebate Program,01/05/2010,02/11/2025
City of Philadelphia - Green Power Purchasing,PA,Regulatory Policy,Green Power Purchasing,02/16/2010,12/10/2024
PECO Energy (Electric) - Residential Energy Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,03/23/2010,12/03/2024
PECO Energy (Electric) - Non-Residential Energy Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,03/26/2010,06/24/2025
"FirstEnergy (Met-Ed, Penelec, Penn Power, and West Penn) - Commercial and Industrial Energy Efficiency Program",PA,Financial Incentive,Rebate Program,05/06/2010,09/04/2024
"FirstEnergy (MetEdison, Penelec, Penn Power, West Penn Power) - Residential Energy Efficiency Programs",PA,Financial Incentive,Rebate Program,05/06/2010,05/15/2024
Energy Efficiency and Conservation Requirements for Utilities,PA,Regulatory Policy,Energy Efficiency Resource Standard,12/20/2010,08/01/2025
City of Philadelphia - Energy Standards for Public Buildings,PA,Regulatory Policy,Energy Standards for Public Buildings,04/11/2011,06/24/2024
City of Philadelphia - Streamlined Solar Permitting and Fee Reduction,PA,Financial Incentive,Green Building Incentive,04/12/2011,06/05/2024
Philadelphia Gas Works - Residential and Small Business Equipment Rebate Program,PA,Financial Incentive,Rebate Program,05/19/2011,11/14/2025
Philadelphia Gas Works - Commercial and Industrial Equipment Rebate Program,PA,Financial Incentive,Rebate Program,05/19/2011,11/14/2025
Philadelphia Gas Works - Residential Incentives Program,PA,Financial Incentive,Rebate Program,12/13/2012,02/18/2025
Solar Alternative Energy Credits,PA,Financial Incentive,Solar Renewable Energy Credit Program,02/19/2015,03/07/2023
Renewable Energy Program,PA,Financial Incentive,Industry Recruitment/Support,05/04/2015,09/11/2022
PECO Energy (Gas)- Commercial Heating Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,01/08/2016,08/01/2024
Solar Energy Loan Program,PA,Financial Incentive,Loan Program,11/22/2016,08/05/2025
Alternative Fuels Incentive Grant Program (AFIG),PA,Financial Incentive,Grant Program,06/18/2021,08/12/2021
Truck and Bus Fleet Grant Program,PA,Financial Incentive,Grant Program,06/18/2021,12/31/2021
Clean Diesel Grant Program,PA,Financial Incentive,Grant Program,06/18/2021,08/12/2021
Electric Cargo Handling Grant Program,PA,Financial Incentive,Grant Program,06/18/2021,12/31/2021
DC Fast Charging and Hydrogen Fueling Grant Program,PA,Financial Incentive,Grant Program,06/18/2021,06/01/2023
Level 2 EV Charging Rebate Program,PA,Financial Incentive,Rebate Program,06/18/2021,07/25/2025
Alternative Fuel Vehicle Rebate Program,PA,Financial Incentive,Rebate Program,06/18/2021,07/25/2025
Duquesne Light Company - PEV Bill Credit Program,PA,Financial Incentive,Rebate Program,08/20/2021,06/11/2025
PECO - EV Rebate Program,PA,Financial Incentive,Rebate Program,08/20/2021,11/22/2024
PPL Electric Utilities - Business Incentive Program,PA,Financial Incentive,Rebate Program,06/08/2022,07/25/2025
PECO - Commercial Charger Rebate Program,PA,Financial Incentive,Rebate Program,06/21/2022,08/05/2024
EZ Permit: Electric Vehicle Charger,PA,Financial Incentive,Green Building Incentive,05/24/2024,06/05/2024
Municipal Opportunities for Retrofits and Energy Efficiency (MORE) Program,PA,Financial Incentive,Loan Program,08/06/2025,08/06/2025
Keystone Energy Efficiency Program (KEEP) Home Energy Loan,PA,Financial Incentive,Loan Program,08/06/2025,08/07/2025
The Green Energy Loan Fund (GELF),PA,Financial Incentive,Loan Program,08/08/2025,08/08/2025
Solar for Schools Grant Program (S4S),PA,Financial Incentive,Grant Program,10/03/2025,10/03/2025
Solar Energy Program (Grant Category),PA,Financial Incentive,Grant Program,10/03/2025,10/03/2025
Puerto Rico - Renewable Energy Equipment Certification,PR,Regulatory Policy,Equipment Certification,10/21/2002,06/03/2024
Puerto Rico - Industry Tax Incentives,PR,Financial Incentive,Industry Recruitment/Support,10/21/2002,05/21/2025
Puerto Rico - Property Tax Exemption for Solar and Renewable Energy Equipment,PR,Financial Incentive,Property Tax Incentive,01/17/2008,09/26/2025
Puerto Rico - Excise Tax Exemption for Farmers,PR,Financial Incentive,Sales Tax Incentive,01/17/2000,06/04/2025
Puerto Rico - Net Metering,PR,Regulatory Policy,Net Metering,01/18/2008,05/20/2025
Puerto Rico - Building Energy Code with Mandatory Solar-Ready for New Residential Construction,PR,Regulatory Policy,Building Energy Code,06/18/2008,05/21/2025
Puerto Rico - Interconnection Standards,PR,Regulatory Policy,Interconnection,12/15/2008,05/30/2024
Puerto Rico - Sales and Use Tax Exemption for Solar Equipment,PR,Financial Incentive,Sales Tax Incentive,12/16/2008,09/26/2025
Puerto Rico - Economic Development Incentives for Renewables,PR,Financial Incentive,Industry Recruitment/Support,12/18/2008,06/04/2025
Puerto Rico - Solar and Wind Contractor Certification,PR,Regulatory Policy,Solar/Wind Contractor Licensing,02/10/2009,12/18/2024
Puerto Rico - Renewable Energy Portfolio Standard,PR,Regulatory Policy,Renewables Portfolio Standard,07/26/2010,11/20/2025
Energy Efficiency Savings Targets,PR,Regulatory Policy,Energy Efficiency Resource Standard,10/31/2024,06/30/2025
Palau - Net Metering,PW,Regulatory Policy,Net Metering,12/15/2014,08/16/2024
Rhode Island Solar Easement Laws,RI,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,11/05/2023
Net Metering,RI,Regulatory Policy,Net Metering,01/01/2000,05/20/2025
Rhode Island Renewable Energy Fund,RI,Regulatory Policy,Public Benefits Fund,01/01/2000,05/21/2025
Renewable Energy Standard,RI,Regulatory Policy,Renewables Portfolio Standard,07/06/2004,07/01/2025
Renewable Energy Products Sales and Use Tax Exemption,RI,Financial Incentive,Sales Tax Incentive,08/16/2005,09/30/2025
Fuel Mix and Emissions Disclosure,RI,Regulatory Policy,Generation Disclosure,12/06/2005,08/09/2023
National Grid (Electric) - Large Business Program,RI,Financial Incentive,Rebate Program,04/17/2006,07/01/2024
Rhode Island Appliance and Equipment Energy Efficiency Standards,RI,Regulatory Policy,Appliance/Equipment Efficiency Standards,06/05/2006,10/23/2024
Building Energy Code,RI,Regulatory Policy,Building Energy Code,07/27/2006,06/18/2023
Green Building Standards for State Facilities,RI,Regulatory Policy,Energy Standards for Public Buildings,08/01/2006,06/21/2024
Local Option - Property Tax Exemption for Renewable Energy Systems,RI,Financial Incentive,Property Tax Incentive,11/13/2007,11/20/2025
Rhode Island Energy (Gas) - Commercial Energy Efficiency Programs,RI,Financial Incentive,Rebate Program,07/23/2008,02/05/2025
Rhode Island Energy (Electric) - Small Business Energy Efficiency Program,RI,Financial Incentive,Rebate Program,07/23/2008,02/06/2025
Rhode Island Energy (Gas) - Residential Gas Heating Rebate Programs,RI,Financial Incentive,Rebate Program,07/23/2008,10/16/2025
National Grid (Electric) - Residential Energy Efficiency Incentive Program,RI,Financial Incentive,Rebate Program,07/23/2008,05/10/2024
Energy Efficiency Resource Standard,RI,Regulatory Policy,Energy Efficiency Resource Standard,12/16/2010,06/30/2025
Interconnection Guidelines,RI,Regulatory Policy,Interconnection,09/14/2011,06/06/2024
Small Scale Solar Grants (Commerce RI),RI,Financial Incentive,Grant Program,01/10/2013,09/26/2025
Commercial Scale Renewable Energy Grants (Commerce RI),RI,Financial Incentive,Grant Program,01/10/2013,09/26/2025
Rhode Island C-PACE program,RI,Financial Incentive,PACE Financing,08/23/2013,12/20/2023
Renewable Energy Growth Program,RI,Financial Incentive,Performance-Based Incentive,08/20/2014,05/21/2025
Renewable Energy Professional Certification,RI,Regulatory Policy,Solar/Wind Contractor Licensing,08/22/2014,12/17/2024
Rhode Island Energy (Electric) Commercial and Industrial Rebate Program,RI,Financial Incentive,Rebate Program,05/08/2015,02/06/2025
Green Power Purchasing for State Facilities,RI,Regulatory Policy,Green Power Purchasing,12/14/2015,12/10/2024
Energy Efficiency Standard for State Buildings,RI,Regulatory Policy,Energy Standards for Public Buildings,12/14/2015,07/02/2024
Property Tax Exemption for Renewable Energy Equipment,RI,Financial Incentive,Property Tax Incentive,08/01/2016,09/30/2025
Agricultural Energy Program,RI,Financial Incentive,Grant Program,02/02/2017,05/21/2025
Community Remote Net Metering Program,RI,Regulatory Policy,Community Solar Rules,06/10/2022,05/19/2025
Offshore Wind Energy Target,RI,Regulatory Policy,Offshore Wind Energy Target,05/17/2024,11/20/2025
Energy Storage Target,RI,Regulatory Policy,Energy Storage Target,09/10/2024,11/20/2025
Rhode Island – Home Electrification and Appliance Rebate (HEAR) Program,RI,Financial Incentive,Rebate Program,12/12/2024,05/20/2025
Renewable Energy Tax Valuation,RI,Financial Incentive,Property Tax Assessment,11/12/2025,11/12/2025
Santee Cooper - Smart Energy Loan Program,SC,Financial Incentive,Loan Program,08/22/2006,07/15/2024
Berkeley Electric Cooperative - Energy Efficiency Loan Programs,SC,Financial Incentive,Loan Program,09/15/2006,05/14/2024
State Building Energy Standards,SC,Regulatory Policy,Energy Standards for Public Buildings,06/25/2007,06/25/2024
ConserFund Loan Program,SC,Financial Incentive,Loan Program,03/27/2006,07/07/2025
Duke Energy Progress- Rate Discount for Energy Star Homes,SC,Financial Incentive,Utility Rate Discount,05/16/2006,07/15/2024
"Solar Energy, Small Hydropower, and Geothermal Tax Credit (Personal)",SC,Financial Incentive,Personal Tax Credit,07/18/2006,03/21/2025
"Solar Energy, Small Hydropower, and Geothermal Tax Credit (Corporate)",SC,Financial Incentive,Corporate Tax Credit,07/18/2006,03/19/2025
Building Energy Code,SC,Regulatory Policy,Building Energy Code,07/19/2006,06/18/2023
Pee Dee Electric Cooperative - Energy Resource Conservation Loan Program,SC,Financial Incentive,Loan Program,08/31/2006,05/14/2024
Palmetto Electric Cooperative - Buried Treasure Rebate Program,SC,Financial Incentive,Rebate Program,08/31/2006,10/28/2025
Blue Ridge Electric Cooperative - Heat Pump Loan Program,SC,Financial Incentive,Loan Program,08/31/2006,05/14/2024
Interconnection Guidelines,SC,Regulatory Policy,Interconnection,01/04/2007,06/07/2024
Sales Tax Exemption for Hydrogen Fuel Cells,SC,Financial Incentive,Sales Tax Incentive,10/17/2007,12/05/2023
Santee Cooper - Renewable Energy Resource Loans,SC,Financial Incentive,Loan Program,10/30/2007,10/28/2025
Net Metering,SC,Regulatory Policy,Net Metering,08/22/2008,02/28/2025
South Carolina Municipalities - Green Power Purchasing,SC,Regulatory Policy,Green Power Purchasing,09/02/2008,12/10/2024
Berkeley Electric Cooperative - Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,01/01/2009,09/16/2025
Duke Energy (Electric) - Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,08/12/2009,10/16/2025
Duke Energy Carolinas - Non-Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,08/12/2009,06/17/2024
York Electric Cooperative - Dual Fuel Heat Pump Rebate Program,SC,Financial Incentive,Rebate Program,08/12/2009,05/14/2024
Duke Energy Progress - Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,02/12/2010,10/16/2025
Piedmont Natural Gas - Residential Equipment Efficiency Program,SC,Financial Incentive,Rebate Program,06/08/2010,07/28/2025
Piedmont Natural Gas - Commercial Equipment Efficiency Rebates,SC,Financial Incentive,Rebate Program,06/08/2010,07/28/2025
Rock Hill Utilities - Water Heater and Heat Pump Rebate Program,SC,Financial Incentive,Rebate Program,06/29/2010,10/16/2025
Santee Cooper - Residential Energy Efficiency Existing Homes Rebate Program,SC,Financial Incentive,Rebate Program,08/22/2006,10/15/2025
Santee Cooper - Commercial Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,08/22/2006,10/24/2025
Dominion Energy (Electric) - Residential EnergyWise Program,SC,Financial Incentive,Rebate Program,05/03/2011,10/27/2025
Dominion Energy - Commercial EnergyWise Program,SC,Financial Incentive,Rebate Program,05/03/2011,08/05/2024
Aiken Electric Cooperative Inc - Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,08/02/2012,09/24/2025
Renewable Energy Manufacturing Tax Credit,SC,Financial Incentive,Industry Recruitment/Support,03/18/2013,02/17/2023
Distributed Energy Resource Program,SC,Regulatory Policy,Renewables Portfolio Standard,07/09/2014,11/26/2024
Energy Efficiency Revolving Loan Fund,SC,Financial Incentive,Loan Program,08/14/2014,07/30/2025
Blue Ridge Electric Cooperative - Residential Water Heater Rebate,SC,Financial Incentive,Rebate Program,07/01/2015,05/14/2024
Santee Cooper - Rooftop Solar Rebate Program,SC,Financial Incentive,Rebate Program,02/02/2017,03/21/2025
Renewable Energy and Energy Storage Property Tax Exemption,SC,Financial Incentive,Property Tax Incentive,10/05/2021,03/21/2025
South Carolina - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,SC,Financial Incentive,Grant Program,06/21/2024,06/21/2024
Black Hills Energy - Residential Customer Rebate Program,SD,Financial Incentive,Rebate Program,05/17/2006,06/17/2025
Building Energy Code,SD,Regulatory Policy,Building Energy Code,08/02/2006,05/23/2023
Southeastern Electric Cooperative - Electric Equipment Loan Program,SD,Financial Incentive,Loan Program,03/15/2007,06/23/2025
Large Commercial Wind and Solar Alternative Taxes,SD,Financial Incentive,Property Tax Incentive,03/06/2008,10/08/2025
"Renewable, Recycled and Conserved Energy Objective",SD,Regulatory Policy,Renewables Portfolio Standard,03/21/2008,11/26/2024
High-Performance Building Requirements for State Buildings,SD,Regulatory Policy,Energy Standards for Public Buildings,07/18/2008,03/13/2024
Otter Tail Power Company - Residential and Commercial Energy Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,11/19/2008,09/09/2025
Black Hills Energy - Commercial Energy Efficiency Programs,SD,Financial Incentive,Rebate Program,11/21/2008,06/18/2025
Interconnection Standards,SD,Regulatory Policy,Interconnection,06/15/2009,06/04/2024
Montana-Dakota Utilities (Gas) - Commercial Natural Gas Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,01/19/2010,02/20/2025
Montana-Dakota Utilities (Gas) - Residential Energy Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,01/19/2010,06/17/2025
South Dakota Solar and Wind Easement Law,SD,Regulatory Policy,Solar/Wind Access Policy,02/15/2010,12/20/2023
Renewable Energy System Exemption,SD,Financial Incentive,Property Tax Incentive,04/07/2010,10/08/2025
Southeastern Electric - Energy Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,03/15/2007,06/23/2025
Business Energy Efficiency Rebate (Offered by 11 Utilities),SD,Financial Incentive,Rebate Program,02/03/2012,08/30/2024
Residential Energy Efficiency Rebates (Offered by 12 Utilities),SD,Financial Incentive,Rebate Program,02/03/2012,09/18/2025
Renewable Energy Facility Sales and Use Tax Reimbursement,SD,Financial Incentive,Sales Tax Incentive,06/26/2013,12/04/2024
Clean Diesel Grant Program,SD,Financial Incentive,Grant Program,06/19/2021,10/10/2023
Commercial Energy Efficiency Rebates (Offered by 12 Utilities),SD,Financial Incentive,Rebate Program,11/14/2023,09/26/2025
South Dakota - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,SD,Financial Incentive,Grant Program,06/19/2024,06/25/2024
Tennessee Solar Easement and Access Laws,TN,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,01/03/2025
Building Energy Code,TN,Regulatory Policy,Building Energy Code,06/30/2006,06/18/2023
Electric Power Board of Chattanooga - Smart Build New Homes Program for Builders & Developers,TN,Financial Incentive,Rebate Program,08/17/2006,07/03/2025
Bristol Tennessee Electric Service - Energy Savings Loan Program,TN,Financial Incentive,Loan Program,08/17/2006,05/20/2024
Middle Tennessee EMC - Residential Heat Pump Loan Program,TN,Financial Incentive,Loan Program,09/19/2006,05/20/2024
